Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,1,97.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,2,46.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,3,89.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,4,66.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,5,50.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,6,51.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,7,55.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,8,42.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,9,55.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_0,10,42.0,97,33
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,1,40.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,2,38.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,3,39.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,4,39.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,5,39.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,6,39.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,7,39.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,8,39.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,9,39.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_1,10,39.0,40,38
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_2,1,94.0,94,22
ba8925e9-b134-4041-88a2-80a4c3bbbd69,provider_2,2,61.0,94,22
