Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,1,88.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,2,72.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,3,50.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,4,42.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,5,82.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,6,46.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,7,45.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,8,37.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,9,36.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_0,10,36.0,88,26
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,1,40.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,2,38.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,3,38.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,4,39.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,5,39.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,6,39.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,7,39.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,8,39.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,9,39.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_1,10,38.0,40,38
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,1,98.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,2,63.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,3,51.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,4,36.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,5,37.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,6,68.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,7,50.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,8,41.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,9,33.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_2,10,29.0,98,22
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,1,95.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,2,60.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,3,51.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,4,49.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,5,43.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,6,48.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,7,40.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,8,34.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,9,35.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_3,10,31.0,95,24
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,1,99.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,2,60.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,3,51.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,4,86.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,5,64.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,6,56.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,7,77.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,8,68.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,9,45.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_4,10,47.0,99,39
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,1,91.0,91,35
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,2,74.0,91,35
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,3,41.0,91,35
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,4,43.0,91,35
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,5,85.0,91,35
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,6,51.0,91,35
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,7,52.0,91,35
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,8,47.0,91,35
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,9,44.0,91,35
bb1f5a48-6016-400b-898a-c52108f4d5b6,provider_5,10,78.0,91,35
