Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,1,95.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,2,60.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,3,50.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,4,63.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,5,48.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,6,58.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,7,86.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,8,64.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,9,46.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_0,10,40.0,95,36
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,1,40.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,2,38.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,3,36.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,4,39.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,5,39.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,6,37.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,7,38.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,8,38.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,9,38.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_1,10,39.0,40,35
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,1,94.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,2,39.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,3,40.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,4,39.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,5,38.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,6,43.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,7,58.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,8,45.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,9,36.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_2,10,39.0,94,30
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,1,87.0,87,33
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,2,55.0,87,33
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,3,46.0,87,33
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,4,48.0,87,33
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,5,43.0,87,33
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,6,52.0,87,33
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,7,48.0,87,33
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,8,39.0,87,33
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,9,38.0,87,33
bbe4edf1-135a-4da4-bf7d-ae44db08ed07,provider_3,10,43.0,87,33
