Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,1,86.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,2,61.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,3,51.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,4,43.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,5,45.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,6,49.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,7,49.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,8,47.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,9,46.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_0,10,42.0,86,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,1,40.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,2,38.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,3,39.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,4,37.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,5,38.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,6,38.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,7,39.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,8,39.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,9,38.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_1,10,38.0,40,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,1,96.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,2,72.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,3,55.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,4,48.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,5,87.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,6,41.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,7,66.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,8,47.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,9,57.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_2,10,78.0,96,39
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,1,82.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,2,53.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,3,44.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,4,44.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,5,45.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,6,43.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,7,44.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,8,40.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,9,39.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_3,10,35.0,82,29
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,1,83.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,2,68.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,3,55.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,4,39.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,5,48.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,6,43.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,7,24.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,8,26.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,9,28.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_4,10,29.0,83,22
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,1,82.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,2,52.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,3,63.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,4,54.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,5,42.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,6,37.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,7,37.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,8,37.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,9,35.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_5,10,35.0,82,23
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,1,94.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,2,56.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,3,49.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,4,54.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,5,52.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,6,56.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,7,67.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,8,48.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,9,44.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_6,10,44.0,94,37
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,1,96.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,2,78.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,3,57.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,4,48.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,5,49.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,6,44.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,7,83.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,8,48.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,9,44.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_7,10,87.0,96,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,1,81.0,81,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,2,34.0,81,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,3,38.0,81,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,4,39.0,81,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,5,40.0,81,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,6,59.0,81,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,7,50.0,81,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,8,42.0,81,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,9,42.0,81,33
bf63e5a8-f3b8-41d7-8e2a-c219877835ad,provider_8,10,39.0,81,33
