Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,1,85.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,2,63.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,3,44.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,4,43.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,5,84.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,6,57.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,7,57.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,8,38.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,9,50.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_0,10,47.0,85,35
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,1,40.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,2,34.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,3,30.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,4,29.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,5,29.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,6,29.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,7,26.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,8,24.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,9,24.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_1,10,24.0,40,23
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,1,87.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,2,62.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,3,46.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,4,42.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,5,43.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,6,40.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,7,41.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,8,43.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,9,40.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_2,10,38.0,87,28
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,1,83.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,2,53.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,3,45.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,4,37.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,5,26.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,6,30.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,7,31.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,8,31.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,9,29.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_3,10,29.0,83,21
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,1,81.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,2,56.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,3,47.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,4,42.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,5,68.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,6,61.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,7,42.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,8,55.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,9,47.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_4,10,42.0,81,36
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,1,94.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,2,65.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,3,60.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,4,42.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,5,44.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,6,48.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,7,77.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,8,60.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,9,55.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_5,10,48.0,94,29
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,1,84.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,2,51.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,3,47.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,4,45.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,5,22.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,6,25.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,7,26.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,8,28.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,9,28.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_6,10,28.0,84,22
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,1,85.0,85,27
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,2,55.0,85,27
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,3,46.0,85,27
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,4,40.0,85,27
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,5,42.0,85,27
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,6,47.0,85,27
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,7,44.0,85,27
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,8,36.0,85,27
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,9,37.0,85,27
c1ee0691-5810-447d-a671-d757486d1a5b,provider_7,10,72.0,85,27
