Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,1,88.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,2,72.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,3,59.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,4,50.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,5,48.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,6,46.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,7,45.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,8,58.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,9,48.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_0,10,48.0,88,33
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,1,40.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,2,38.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,3,32.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,4,31.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,5,30.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,6,30.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,7,30.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,8,28.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,9,28.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_1,10,26.0,40,26
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,1,84.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,2,68.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,3,51.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,4,43.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,5,43.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,6,45.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,7,46.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,8,45.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,9,43.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_2,10,39.0,84,31
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,1,82.0,82,38
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,2,68.0,82,38
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,3,48.0,82,38
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,4,47.0,82,38
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,5,41.0,82,38
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,6,80.0,82,38
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,7,49.0,82,38
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,8,69.0,82,38
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,9,61.0,82,38
c23babe9-2737-4132-99e8-72a78c04c845,provider_3,10,53.0,82,38
