Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,1,82.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,2,53.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,3,43.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,4,44.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,5,34.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,6,34.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,7,38.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,8,37.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,9,34.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_0,10,31.0,82,20
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,1,40.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,2,32.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,3,32.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,4,38.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,5,36.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,6,39.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,7,31.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,8,36.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,9,33.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_1,10,31.0,40,31
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,1,86.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,2,52.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,3,44.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,4,44.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,5,45.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,6,40.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,7,40.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,8,30.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,9,32.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_2,10,50.0,86,26
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,1,88.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,2,35.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,3,36.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,4,37.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,5,38.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,6,36.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,7,39.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,8,31.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,9,31.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_3,10,31.0,88,22
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,1,91.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,2,55.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,3,46.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,4,60.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,5,47.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,6,49.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,7,49.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,8,51.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,9,49.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_4,10,44.0,91,33
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,1,93.0,93,34
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,2,68.0,93,34
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,3,53.0,93,34
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,4,45.0,93,34
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,5,82.0,93,34
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,6,47.0,93,34
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,7,64.0,93,34
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,8,46.0,93,34
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,9,42.0,93,34
c549e046-681c-4df2-b4b4-fcf9e3de5282,provider_5,10,43.0,93,34
