Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,1,85.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,2,55.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,3,46.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,4,48.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,5,46.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,6,41.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,7,44.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,8,36.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,9,36.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_0,10,36.0,85,28
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,1,40.0,40,21
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,2,34.0,40,21
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,3,29.0,40,21
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,4,28.0,40,21
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,5,28.0,40,21
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,6,28.0,40,21
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,7,28.0,40,21
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,8,26.0,40,21
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,9,24.0,40,21
c68a87db-b423-4df4-afb4-ce68c848c39d,provider_1,10,22.0,40,21
