Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,1,91.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,2,58.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,3,49.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,4,42.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,5,57.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,6,38.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,7,38.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,8,61.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,9,46.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_0,10,42.0,91,30
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,1,40.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,2,38.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,3,39.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,4,37.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,5,38.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,6,38.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,7,39.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,8,39.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,9,39.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_1,10,37.0,40,37
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,1,98.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,2,63.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,3,52.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,4,42.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,5,80.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,6,58.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,7,49.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,8,40.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,9,36.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_2,10,33.0,98,25
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,1,92.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,2,58.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,3,49.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,4,43.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,5,44.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,6,41.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,7,64.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,8,47.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,9,40.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_3,10,34.0,92,26
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,1,91.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,2,59.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,3,54.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,4,42.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,5,43.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,6,25.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,7,28.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,8,30.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,9,32.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_4,10,31.0,91,22
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_5,1,85.0,85,39
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_5,2,69.0,85,39
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_5,3,53.0,85,39
c86bc958-0763-4970-9fcf-2d05b0226ad9,provider_5,4,83.0,85,39
