Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,1,84.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,2,53.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,3,45.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,4,43.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,5,44.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,6,40.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,7,39.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,8,40.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,9,36.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_0,10,32.0,84,22
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,1,40.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,2,34.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,3,29.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,4,28.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,5,30.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,6,30.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,7,30.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,8,30.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,9,27.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_1,10,26.0,40,26
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,1,84.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,2,58.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,3,48.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,4,53.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,5,45.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,6,61.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,7,42.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,8,43.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,9,63.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_2,10,56.0,84,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_3,1,86.0,86,38
ca2fe2e2-c284-4ea6-a526-200e1bc01416,provider_3,2,43.0,86,38
