Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,1,96.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,2,58.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,3,48.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,4,34.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,5,35.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,6,34.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,7,42.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,8,80.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,9,41.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_0,10,37.0,96,22
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,1,40.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,2,34.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,3,29.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,4,35.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,5,36.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,6,32.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,7,32.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,8,27.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,9,27.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_1,10,26.0,40,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,1,93.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,2,76.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,3,53.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,4,56.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,5,49.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,6,53.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,7,91.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,8,71.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,9,51.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_2,10,48.0,93,37
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,1,85.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,2,54.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,3,45.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,4,40.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,5,41.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,6,39.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,7,45.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,8,48.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,9,43.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_3,10,39.0,85,23
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,1,98.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,2,63.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,3,52.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,4,46.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,5,29.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,6,32.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,7,33.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,8,50.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,9,45.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_4,10,41.0,98,26
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,1,94.0,94,24
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,2,39.0,94,24
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,3,41.0,94,24
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,4,42.0,94,24
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,5,43.0,94,24
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,6,40.0,94,24
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,7,65.0,94,24
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,8,48.0,94,24
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,9,37.0,94,24
cee8784d-1819-421a-b970-eb30190b4bc6,provider_5,10,34.0,94,24
