Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,1,88.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,2,61.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,3,51.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,4,49.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,5,50.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,6,84.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,7,62.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,8,48.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,9,43.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_0,10,45.0,88,32
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,1,40.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,2,33.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,3,28.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,4,27.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,5,27.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,6,27.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,7,27.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,8,25.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,9,25.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_1,10,23.0,40,22
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,1,98.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,2,63.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,3,86.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,4,64.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,5,48.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,6,56.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,7,47.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,8,31.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,9,56.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_2,10,40.0,98,29
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_3,1,98.0,98,38
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_3,2,80.0,98,38
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_3,3,63.0,98,38
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_3,4,53.0,98,38
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_3,5,55.0,98,38
cf8108ec-63d7-4bb0-bd76-a54d871e92a1,provider_3,6,59.0,98,38
