Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,1,99.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,2,81.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,3,68.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,4,42.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,5,82.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,6,50.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,7,69.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,8,63.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,9,61.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_0,10,45.0,99,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,1,40.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,2,36.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,3,30.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,4,30.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,5,25.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,6,25.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,7,25.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,8,24.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,9,24.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_1,10,23.0,40,23
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,1,85.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,2,51.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,3,46.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,4,47.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,5,42.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,6,42.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,7,42.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,8,42.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,9,42.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_2,10,42.0,85,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,1,89.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,2,72.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,3,61.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,4,48.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,5,50.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,6,45.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,7,50.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,8,49.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,9,46.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_3,10,42.0,89,34
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,1,97.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,2,62.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,3,52.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,4,42.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,5,53.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,6,48.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,7,54.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,8,50.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,9,41.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_4,10,36.0,97,30
d420d459-381a-41b6-8f68-aab1ad92e451,provider_5,1,95.0,95,38
