Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,1,97.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,2,79.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,3,44.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,4,36.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,5,66.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,6,53.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,7,56.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,8,48.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,9,43.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_0,10,44.0,97,35
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,1,40.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,2,38.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,3,32.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,4,31.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,5,36.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,6,34.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,7,34.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,8,38.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,9,36.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_1,10,32.0,40,30
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,1,86.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,2,55.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,3,46.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,4,43.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,5,44.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,6,40.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,7,33.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,8,34.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,9,35.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_2,10,33.0,86,22
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,1,95.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,2,70.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,3,59.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,4,50.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,5,40.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,6,73.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,7,51.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,8,77.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,9,51.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_3,10,47.0,95,39
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,1,83.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,2,53.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,3,44.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,4,45.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,5,37.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,6,37.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,7,36.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,8,41.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,9,39.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_4,10,35.0,83,21
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,1,84.0,84,36
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,2,50.0,84,36
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,3,46.0,84,36
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,4,71.0,84,36
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,5,51.0,84,36
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,6,43.0,84,36
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,7,70.0,84,36
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,8,62.0,84,36
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,9,37.0,84,36
d464593c-0e9f-4b95-b1a9-154eabe4c056,provider_5,10,44.0,84,36
