Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,1,86.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,2,60.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,3,42.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,4,73.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,5,59.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,6,49.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,7,48.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,8,48.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,9,42.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_0,10,43.0,86,37
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,1,40.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,2,35.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,3,31.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,4,31.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,5,27.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,6,27.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,7,27.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,8,26.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,9,26.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_1,10,23.0,40,22
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_2,1,85.0,85,35
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_2,2,54.0,85,35
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_2,3,46.0,85,35
d54a14f2-65d7-4c5f-b914-e46e5c163830,provider_2,4,44.0,85,35
