Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,1,99.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,2,81.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,3,60.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,4,51.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,5,53.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,6,48.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,7,39.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,8,66.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,9,40.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_0,10,36.0,99,27
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,1,40.0,40,26
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,2,37.0,40,26
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,3,36.0,40,26
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,4,31.0,40,26
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,5,32.0,40,26
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,6,32.0,40,26
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,7,32.0,40,26
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,8,30.0,40,26
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,9,30.0,40,26
d63afb73-ada2-47da-ba3a-401456a2a6b6,provider_1,10,26.0,40,26
