Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,1,80.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,2,48.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,3,41.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,4,47.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,5,76.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,6,46.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,7,44.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,8,41.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,9,40.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_0,10,40.0,80,29
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,1,40.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,2,35.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,3,30.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,4,25.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,5,25.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,6,27.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,7,25.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,8,25.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,9,25.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_1,10,25.0,40,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,1,82.0,82,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,2,67.0,82,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,3,54.0,82,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,4,45.0,82,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,5,39.0,82,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,6,39.0,82,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,7,51.0,82,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,8,37.0,82,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,9,36.0,82,25
d970c3a3-364b-41cb-a989-c45b9789296e,provider_2,10,34.0,82,25
