Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,1,93.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,2,60.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,3,49.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,4,43.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,5,44.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,6,41.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,7,34.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,8,39.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,9,34.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_0,10,32.0,93,21
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,1,40.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,2,33.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,3,35.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,4,33.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,5,34.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,6,36.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,7,34.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,8,36.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,9,38.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_1,10,38.0,40,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,1,85.0,85,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,2,69.0,85,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,3,48.0,85,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,4,46.0,85,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,5,50.0,85,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,6,48.0,85,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,7,48.0,85,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,8,45.0,85,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,9,44.0,85,33
d9fb5ded-feeb-4f73-9c46-8fe6d2a997e2,provider_2,10,39.0,85,33
