Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,1,92.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,2,58.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,3,48.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,4,46.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,5,47.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,6,35.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,7,38.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,8,51.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,9,46.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_0,10,41.0,92,26
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,1,40.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,2,38.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,3,39.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,4,37.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,5,37.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,6,39.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,7,38.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,8,38.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,9,38.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_1,10,36.0,40,36
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,1,94.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,2,60.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,3,51.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,4,45.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,5,29.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,6,30.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,7,30.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,8,32.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,9,40.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_2,10,35.0,94,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,1,91.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,2,63.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,3,44.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,4,48.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,5,57.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,6,51.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,7,51.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,8,47.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,9,46.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_3,10,43.0,91,38
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,1,97.0,97,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,2,63.0,97,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,3,52.0,97,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,4,42.0,97,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,5,43.0,97,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,6,26.0,97,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,7,25.0,97,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,8,31.0,97,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,9,37.0,97,22
dcdd4ddb-803a-4187-bf2a-472bf1ed7088,provider_4,10,36.0,97,22
