Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,1,99.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,2,63.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,3,53.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,4,39.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,5,40.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,6,59.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,7,87.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,8,64.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,9,46.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_0,10,44.0,99,29
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,1,40.0,40,36
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,2,38.0,40,36
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,3,36.0,40,36
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,4,39.0,40,36
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,5,39.0,40,36
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,6,37.0,40,36
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,7,38.0,40,36
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,8,39.0,40,36
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,9,39.0,40,36
de319f0a-6787-42f6-9df7-9e18b9a39fa7,provider_1,10,37.0,40,36
