Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,1,94.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,2,77.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,3,49.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,4,40.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,5,52.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,6,41.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,7,47.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,8,47.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,9,43.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_0,10,38.0,94,32
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,1,40.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,2,39.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,3,37.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,4,39.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,5,37.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,6,39.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,7,37.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,8,38.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,9,37.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_1,10,39.0,40,37
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,1,94.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,2,77.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,3,57.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,4,48.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,5,49.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,6,40.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,7,55.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,8,35.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,9,36.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_2,10,35.0,94,30
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,1,97.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,2,79.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,3,56.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,4,44.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,5,86.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,6,70.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,7,40.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,8,64.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,9,57.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_3,10,95.0,97,34
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,1,88.0,88,22
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,2,56.0,88,22
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,3,46.0,88,22
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,4,47.0,88,22
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,5,39.0,88,22
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,6,37.0,88,22
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,7,40.0,88,22
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,8,44.0,88,22
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,9,36.0,88,22
deb125b1-fb45-4e32-8bbc-75e70c407673,provider_4,10,33.0,88,22
