Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,1,99.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,2,81.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,3,45.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,4,87.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,5,73.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,6,62.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,7,53.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,8,43.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,9,37.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_0,10,65.0,99,35
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,1,40.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,2,33.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,3,28.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,4,28.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,5,29.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,6,33.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,7,34.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,8,28.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,9,28.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_1,10,28.0,40,28
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_2,1,87.0,87,33
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_2,2,71.0,87,33
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_2,3,45.0,87,33
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_2,4,44.0,87,33
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_2,5,57.0,87,33
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_2,6,47.0,87,33
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_2,7,47.0,87,33
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_2,8,47.0,87,33
df45a62f-20ea-44cb-b23f-fdb55b39b991,provider_2,9,46.0,87,33
