Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,1,80.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,2,65.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,3,55.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,4,43.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,5,44.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,6,43.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,7,45.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,8,43.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,9,42.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_0,10,40.0,80,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,1,40.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,2,38.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,3,38.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,4,39.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,5,39.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,6,39.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,7,39.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,8,39.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,9,38.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_1,10,39.0,40,38
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,1,98.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,2,62.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,3,46.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,4,48.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,5,46.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,6,43.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,7,46.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,8,87.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,9,63.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_2,10,44.0,98,31
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,1,87.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,2,71.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,3,58.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,4,49.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,5,78.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,6,66.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,7,36.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,8,45.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,9,40.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_3,10,37.0,87,30
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,1,90.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,2,58.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,3,42.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,4,47.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,5,40.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,6,44.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,7,82.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,8,44.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,9,36.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_4,10,33.0,90,24
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,1,94.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,2,65.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,3,48.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,4,92.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,5,64.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,6,55.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,7,67.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,8,46.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,9,41.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_5,10,64.0,94,39
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,1,94.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,2,60.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,3,50.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,4,56.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,5,52.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,6,50.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,7,52.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,8,54.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,9,48.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_6,10,48.0,94,37
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,1,83.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,2,59.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,3,49.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,4,46.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,5,44.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,6,41.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,7,34.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,8,35.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,9,34.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_7,10,34.0,83,20
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,1,97.0,97,34
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,2,63.0,97,34
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,3,52.0,97,34
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,4,43.0,97,34
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,5,66.0,97,34
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,6,60.0,97,34
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,7,49.0,97,34
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,8,78.0,97,34
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,9,57.0,97,34
e1b8c268-2ec7-4edb-8fe4-cd925931df8b,provider_8,10,76.0,97,34
