Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,1,94.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,2,61.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,3,45.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,4,38.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,5,39.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,6,37.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,7,44.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,8,36.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,9,38.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_0,10,34.0,94,27
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,1,40.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,2,37.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,3,31.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,4,39.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,5,33.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,6,35.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,7,38.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,8,39.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,9,35.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_1,10,35.0,40,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,1,90.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,2,67.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,3,50.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,4,43.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,5,85.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,6,51.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,7,68.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,8,46.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,9,43.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_2,10,44.0,90,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,1,87.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,2,71.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,3,58.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,4,44.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,5,84.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,6,73.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,7,59.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,8,41.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,9,38.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_3,10,52.0,87,31
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,1,85.0,85,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,2,59.0,85,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,3,41.0,85,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,4,40.0,85,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,5,42.0,85,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,6,45.0,85,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,7,49.0,85,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,8,36.0,85,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,9,42.0,85,33
e567e67f-28d1-4570-9a0c-16051aa3768e,provider_4,10,41.0,85,33
