Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,1,92.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,2,58.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,3,53.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,4,49.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,5,83.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,6,70.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,7,57.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,8,52.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,9,46.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_0,10,71.0,92,37
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,1,40.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,2,35.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,3,30.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,4,25.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,5,36.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,6,32.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,7,32.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,8,30.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,9,27.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_1,10,29.0,40,25
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,1,98.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,2,59.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,3,74.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,4,82.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,5,67.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,6,58.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,7,39.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,8,50.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,9,46.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_2,10,41.0,98,33
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_3,1,91.0,91,23
e5cbd92a-7f0b-4a27-adfb-af966fefdb3f,provider_3,2,58.0,91,23
