Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,1,88.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,2,72.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,3,59.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,4,50.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,5,44.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,6,40.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,7,42.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,8,37.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,9,47.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_0,10,43.0,88,25
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,1,40.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,2,33.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,3,28.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,4,28.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,5,28.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,6,28.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,7,28.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,8,28.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,9,28.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_1,10,26.0,40,20
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,1,87.0,87,28
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,2,60.0,87,28
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,3,52.0,87,28
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,4,47.0,87,28
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,5,45.0,87,28
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,6,47.0,87,28
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,7,39.0,87,28
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,8,42.0,87,28
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,9,42.0,87,28
e5d3fd55-8210-4fab-bf3d-b21a5b857608,provider_2,10,37.0,87,28
