Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,1,98.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,2,59.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,3,48.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,4,39.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,5,38.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,6,25.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,7,29.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,8,32.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,9,51.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_0,10,37.0,98,20
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,1,40.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,2,34.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,3,29.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,4,31.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,5,31.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,6,31.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,7,31.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,8,27.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,9,25.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_1,10,25.0,40,21
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,1,97.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,2,63.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,3,52.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,4,39.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,5,45.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,6,27.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,7,29.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,8,45.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,9,32.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_2,10,30.0,97,23
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,1,87.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,2,56.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,3,47.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,4,45.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,5,40.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,6,42.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,7,45.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,8,46.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,9,43.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_3,10,35.0,87,28
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,1,86.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,2,70.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,3,39.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,4,43.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,5,46.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,6,43.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,7,49.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,8,45.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,9,42.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_4,10,43.0,86,32
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,1,99.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,2,69.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,3,58.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,4,37.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,5,59.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,6,47.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,7,62.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,8,44.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,9,40.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_5,10,42.0,99,35
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,1,93.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,2,39.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,3,41.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,4,40.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,5,41.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,6,41.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,7,44.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,8,81.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,9,48.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_6,10,45.0,93,27
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,1,86.0,86,39
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,2,60.0,86,39
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,3,50.0,86,39
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,4,44.0,86,39
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,5,45.0,86,39
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,6,60.0,86,39
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,7,76.0,86,39
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,8,51.0,86,39
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,9,45.0,86,39
e6843dab-6337-42bc-a678-f9a942b1233b,provider_7,10,40.0,86,39
