Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,1,97.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,2,62.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,3,52.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,4,44.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,5,45.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,6,28.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,7,33.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,8,32.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,9,32.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_0,10,31.0,97,24
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,1,40.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,2,30.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,3,31.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,4,30.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,5,27.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,6,27.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,7,28.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,8,27.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,9,27.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_1,10,35.0,40,27
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,1,81.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,2,58.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,3,40.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,4,41.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,5,42.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,6,36.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,7,35.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,8,48.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,9,40.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_2,10,36.0,81,21
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,1,89.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,2,72.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,3,53.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,4,47.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,5,37.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,6,37.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,7,38.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,8,52.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,9,47.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_3,10,43.0,89,28
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,1,87.0,87,25
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,2,36.0,87,25
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,3,37.0,87,25
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,4,38.0,87,25
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,5,39.0,87,25
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,6,37.0,87,25
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,7,38.0,87,25
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,8,39.0,87,25
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,9,72.0,87,25
e6f2f895-7fa1-4ea1-834f-e54e8903da71,provider_4,10,54.0,87,25
