Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,1,80.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,2,65.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,3,48.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,4,43.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,5,43.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,6,43.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,7,44.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,8,45.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,9,42.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_0,10,39.0,80,30
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,1,40.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,2,38.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,3,38.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,4,39.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,5,37.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,6,35.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,7,36.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,8,38.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,9,39.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_1,10,35.0,40,35
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,1,93.0,93,27
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,2,55.0,93,27
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,3,48.0,93,27
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,4,42.0,93,27
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,5,43.0,93,27
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,6,40.0,93,27
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,7,43.0,93,27
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,8,48.0,93,27
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,9,44.0,93,27
e8722855-3d03-4d09-a04a-841d497eff91,provider_2,10,39.0,93,27
