Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,1,87.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,2,70.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,3,52.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,4,44.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,5,46.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,6,46.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,7,47.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,8,43.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,9,42.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_0,10,42.0,87,33
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,1,40.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,2,34.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,3,34.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,4,38.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,5,33.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,6,31.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,7,31.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,8,36.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,9,38.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_1,10,33.0,40,31
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,1,98.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,2,80.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,3,65.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,4,53.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,5,61.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,6,48.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,7,49.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,8,40.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,9,68.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_2,10,50.0,98,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,1,97.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,2,62.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,3,52.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,4,39.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,5,66.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,6,55.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,7,58.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,8,54.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,9,49.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_3,10,58.0,97,35
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,1,89.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,2,62.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,3,44.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,4,76.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,5,53.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,6,50.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,7,49.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,8,48.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,9,47.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_4,10,45.0,89,37
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,1,93.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,2,60.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,3,49.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,4,40.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,5,26.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,6,42.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,7,57.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,8,42.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,9,34.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_5,10,34.0,93,24
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,1,91.0,91,36
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,2,68.0,91,36
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,3,50.0,91,36
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,4,59.0,91,36
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,5,70.0,91,36
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,6,56.0,91,36
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,7,52.0,91,36
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,8,44.0,91,36
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,9,40.0,91,36
ebc972f6-2f0b-4173-94a9-17e28a780c42,provider_6,10,36.0,91,36
