Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,1,83.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,2,68.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,3,57.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,4,48.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,5,64.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,6,54.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,7,45.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,8,44.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,9,49.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_0,10,80.0,83,34
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,1,40.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,2,34.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,3,30.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,4,28.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,5,28.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,6,28.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,7,28.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,8,26.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,9,25.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_1,10,24.0,40,22
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,1,96.0,96,21
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,2,62.0,96,21
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,3,21.0,96,21
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,4,33.0,96,21
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,5,34.0,96,21
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,6,36.0,96,21
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,7,29.0,96,21
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,8,30.0,96,21
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,9,34.0,96,21
ebe4ed60-332e-43a4-b5ed-15a755259019,provider_2,10,32.0,96,21
