Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,1,93.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,2,55.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,3,51.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,4,46.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,5,48.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,6,45.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,7,69.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,8,55.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,9,44.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_0,10,40.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,1,40.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,2,34.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,3,29.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,4,28.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,5,27.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,6,27.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,7,27.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,8,27.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,9,25.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_1,10,25.0,40,25
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,1,93.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,2,59.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,3,49.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,4,50.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,5,45.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,6,42.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,7,43.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,8,36.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,9,47.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_2,10,43.0,93,26
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,1,95.0,95,23
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,2,61.0,95,23
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,3,50.0,95,23
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,4,28.0,95,23
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,5,29.0,95,23
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,6,31.0,95,23
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,7,32.0,95,23
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,8,47.0,95,23
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,9,38.0,95,23
ec4762a7-9217-4981-96ee-245a7396bae1,provider_3,10,34.0,95,23
