Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,1,94.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,2,61.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,3,50.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,4,46.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,5,28.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,6,30.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,7,47.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,8,38.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,9,34.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_0,10,28.0,94,22
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,1,40.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,2,34.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,3,29.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,4,28.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,5,28.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,6,33.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,7,37.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,8,27.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,9,26.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_1,10,26.0,40,26
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,1,87.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,2,55.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,3,46.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,4,44.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,5,44.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,6,47.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,7,43.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,8,39.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,9,33.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_2,10,51.0,87,27
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,1,91.0,91,35
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,2,43.0,91,35
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,3,48.0,91,35
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,4,55.0,91,35
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,5,53.0,91,35
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,6,72.0,91,35
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,7,61.0,91,35
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,8,39.0,91,35
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,9,60.0,91,35
ec85b469-7dc5-4f2f-89c6-083f6426ddb2,provider_3,10,55.0,91,35
