Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,1,81.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,2,60.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,3,43.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,4,47.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,5,47.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,6,51.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,7,43.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,8,46.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,9,45.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_0,10,45.0,81,39
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,1,40.0,40,38
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,2,38.0,40,38
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,3,38.0,40,38
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,4,39.0,40,38
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,5,39.0,40,38
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,6,39.0,40,38
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,7,38.0,40,38
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,8,39.0,40,38
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,9,38.0,40,38
ecfcb53f-7e4f-4ec2-b7fb-711913767189,provider_1,10,38.0,40,38
