Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,1,96.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,2,81.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,3,58.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,4,48.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,5,30.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,6,31.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,7,32.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,8,38.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,9,31.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_0,10,31.0,96,23
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,1,40.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,2,38.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,3,38.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,4,39.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,5,37.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,6,38.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,7,37.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,8,37.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,9,38.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_1,10,39.0,40,37
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,1,83.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,2,68.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,3,55.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,4,42.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,5,44.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,6,46.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,7,46.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,8,43.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,9,57.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_2,10,51.0,83,31
ee30ccaa-df8b-4de3-a1c6-3f7e08af5bc7,provider_3,1,87.0,87,35
