Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,1,83.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,2,33.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,3,32.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,4,31.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,5,30.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,6,34.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,7,33.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,8,38.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,9,40.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_0,10,37.0,83,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,1,40.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,2,34.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,3,34.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,4,33.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,5,34.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,6,34.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,7,38.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,8,33.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,9,38.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_1,10,33.0,40,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,1,90.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,2,58.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,3,49.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,4,42.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,5,42.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,6,44.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,7,47.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,8,38.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,9,34.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_2,10,34.0,90,25
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,1,81.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,2,56.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,3,47.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,4,41.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,5,44.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,6,46.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,7,47.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,8,44.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,9,41.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_3,10,42.0,81,35
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,1,86.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,2,70.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,3,59.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,4,44.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,5,84.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,6,52.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,7,44.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,8,45.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,9,41.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_4,10,40.0,86,33
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,1,84.0,84,28
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,2,53.0,84,28
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,3,44.0,84,28
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,4,49.0,84,28
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,5,79.0,84,28
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,6,58.0,84,28
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,7,33.0,84,28
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,8,38.0,84,28
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,9,39.0,84,28
f1430f6b-bac4-4529-b621-e668264f03a6,provider_5,10,38.0,84,28
