Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,1,94.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,2,77.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,3,43.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,4,52.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,5,50.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,6,63.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,7,48.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,8,39.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,9,49.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_0,10,49.0,94,38
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,1,40.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,2,34.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,3,32.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,4,35.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,5,36.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,6,38.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,7,36.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,8,32.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,9,32.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_1,10,36.0,40,32
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,1,99.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,2,63.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,3,52.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,4,54.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,5,52.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,6,49.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,7,58.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,8,78.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,9,57.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_2,10,43.0,99,36
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,1,82.0,82,34
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,2,34.0,82,34
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,3,59.0,82,34
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,4,68.0,82,34
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,5,47.0,82,34
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,6,45.0,82,34
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,7,45.0,82,34
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,8,46.0,82,34
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,9,54.0,82,34
f1a1375e-3116-4e93-8596-a5ca0aa34f6f,provider_3,10,56.0,82,34
