Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
f47edea1-1212-4ade-9948-5523791ad468,provider_0,1,88.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_0,2,72.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_0,3,50.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_0,4,43.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_0,5,44.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_0,6,46.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_0,7,47.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_0,8,52.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_0,9,46.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_0,10,40.0,88,30
f47edea1-1212-4ade-9948-5523791ad468,provider_1,1,40.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_1,2,33.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_1,3,28.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_1,4,27.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_1,5,27.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_1,6,27.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_1,7,27.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_1,8,26.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_1,9,26.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_1,10,24.0,40,21
f47edea1-1212-4ade-9948-5523791ad468,provider_2,1,85.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_2,2,69.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_2,3,53.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_2,4,48.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_2,5,40.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_2,6,43.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_2,7,70.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_2,8,44.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_2,9,45.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_2,10,40.0,85,34
f47edea1-1212-4ade-9948-5523791ad468,provider_3,1,85.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_3,2,59.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_3,3,49.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_3,4,47.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_3,5,41.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_3,6,38.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_3,7,37.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_3,8,38.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_3,9,38.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_3,10,34.0,85,25
f47edea1-1212-4ade-9948-5523791ad468,provider_4,1,81.0,81,20
f47edea1-1212-4ade-9948-5523791ad468,provider_4,2,52.0,81,20
f47edea1-1212-4ade-9948-5523791ad468,provider_4,3,43.0,81,20
f47edea1-1212-4ade-9948-5523791ad468,provider_4,4,43.0,81,20
f47edea1-1212-4ade-9948-5523791ad468,provider_4,5,41.0,81,20
f47edea1-1212-4ade-9948-5523791ad468,provider_4,6,40.0,81,20
f47edea1-1212-4ade-9948-5523791ad468,provider_4,7,38.0,81,20
f47edea1-1212-4ade-9948-5523791ad468,provider_4,8,37.0,81,20
f47edea1-1212-4ade-9948-5523791ad468,provider_4,9,35.0,81,20
f47edea1-1212-4ade-9948-5523791ad468,provider_4,10,32.0,81,20
