Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,1,96.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,2,62.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,3,43.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,4,59.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,5,95.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,6,57.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,7,43.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,8,44.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,9,41.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_0,10,32.0,96,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,1,40.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,2,35.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,3,26.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,4,25.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,5,25.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,6,25.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,7,25.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,8,25.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,9,24.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_1,10,23.0,40,21
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,1,92.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,2,59.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,3,50.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,4,42.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,5,27.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,6,26.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,7,40.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,8,39.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,9,35.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_2,10,31.0,92,23
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,1,82.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,2,57.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,3,52.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,4,50.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,5,50.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,6,45.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,7,41.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,8,44.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,9,41.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_3,10,50.0,82,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,1,93.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,2,76.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,3,60.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,4,52.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,5,54.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,6,55.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,7,46.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,8,58.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,9,39.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_4,10,43.0,93,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,1,98.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,2,59.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,3,54.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,4,45.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,5,51.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,6,48.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,7,63.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,8,52.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,9,48.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_5,10,44.0,98,32
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,1,81.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,2,66.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,3,48.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,4,46.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,5,45.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,6,68.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,7,41.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,8,45.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,9,42.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_6,10,47.0,81,35
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,1,94.0,94,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,2,77.0,94,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,3,43.0,94,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,4,33.0,94,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,5,35.0,94,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,6,67.0,94,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,7,58.0,94,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,8,48.0,94,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,9,40.0,94,30
f664d898-eef8-4cbc-a86e-052d052cf4bd,provider_7,10,72.0,94,30
