Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,1,92.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,2,56.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,3,48.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,4,46.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,5,47.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,6,46.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,7,61.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,8,50.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,9,46.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_0,10,44.0,92,28
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,1,40.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,2,35.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,3,37.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,4,33.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,5,33.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,6,35.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,7,37.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,8,32.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,9,34.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_1,10,32.0,40,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,1,86.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,2,55.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,3,46.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,4,47.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,5,45.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,6,42.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,7,45.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,8,41.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,9,40.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_2,10,38.0,86,29
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,1,82.0,82,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,2,67.0,82,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,3,49.0,82,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,4,41.0,82,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,5,43.0,82,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,6,42.0,82,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,7,43.0,82,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,8,43.0,82,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,9,40.0,82,30
f6939d3d-46db-4fd9-b058-67ba609b0a42,provider_3,10,40.0,82,30
