Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
f7891291-9203-4533-8f09-888f876065b7,provider_0,1,99.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_0,2,63.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_0,3,44.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_0,4,31.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_0,5,30.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_0,6,40.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_0,7,28.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_0,8,38.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_0,9,37.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_0,10,35.0,99,20
f7891291-9203-4533-8f09-888f876065b7,provider_1,1,40.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_1,2,39.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_1,3,39.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_1,4,39.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_1,5,39.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_1,6,39.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_1,7,39.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_1,8,39.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_1,9,39.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_1,10,39.0,40,39
f7891291-9203-4533-8f09-888f876065b7,provider_2,1,81.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_2,2,66.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_2,3,52.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_2,4,45.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_2,5,36.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_2,6,40.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_2,7,45.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_2,8,43.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_2,9,39.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_2,10,40.0,81,26
f7891291-9203-4533-8f09-888f876065b7,provider_3,1,88.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_3,2,52.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_3,3,45.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_3,4,46.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_3,5,40.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_3,6,76.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_3,7,41.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_3,8,47.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_3,9,44.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_3,10,41.0,88,25
f7891291-9203-4533-8f09-888f876065b7,provider_4,1,86.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_4,2,70.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_4,3,39.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_4,4,40.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_4,5,42.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_4,6,45.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_4,7,50.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_4,8,50.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_4,9,46.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_4,10,46.0,86,33
f7891291-9203-4533-8f09-888f876065b7,provider_5,1,81.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_5,2,56.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_5,3,47.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_5,4,42.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_5,5,40.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_5,6,43.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_5,7,42.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_5,8,38.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_5,9,39.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_5,10,37.0,81,34
f7891291-9203-4533-8f09-888f876065b7,provider_6,1,89.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_6,2,62.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_6,3,48.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_6,4,50.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_6,5,52.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_6,6,46.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_6,7,63.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_6,8,52.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_6,9,46.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_6,10,46.0,89,32
f7891291-9203-4533-8f09-888f876065b7,provider_7,1,84.0,84,24
f7891291-9203-4533-8f09-888f876065b7,provider_7,2,54.0,84,24
f7891291-9203-4533-8f09-888f876065b7,provider_7,3,45.0,84,24
f7891291-9203-4533-8f09-888f876065b7,provider_7,4,46.0,84,24
f7891291-9203-4533-8f09-888f876065b7,provider_7,5,40.0,84,24
f7891291-9203-4533-8f09-888f876065b7,provider_7,6,65.0,84,24
f7891291-9203-4533-8f09-888f876065b7,provider_7,7,37.0,84,24
f7891291-9203-4533-8f09-888f876065b7,provider_7,8,38.0,84,24
f7891291-9203-4533-8f09-888f876065b7,provider_7,9,38.0,84,24
f7891291-9203-4533-8f09-888f876065b7,provider_7,10,35.0,84,24
