Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,1,87.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,2,56.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,3,47.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,4,22.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,5,23.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,6,31.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,7,32.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,8,33.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,9,33.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_0,10,29.0,87,21
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,1,40.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,2,38.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,3,39.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,4,37.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,5,38.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,6,38.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,7,39.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,8,39.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,9,38.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_1,10,38.0,40,37
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,1,82.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,2,53.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,3,43.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,4,41.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,5,29.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,6,29.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,7,28.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,8,30.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,9,30.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_2,10,30.0,82,20
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,1,84.0,84,32
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,2,35.0,84,32
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,3,37.0,84,32
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,4,38.0,84,32
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,5,43.0,84,32
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,6,43.0,84,32
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,7,42.0,84,32
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,8,72.0,84,32
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,9,41.0,84,32
f7bc569c-532c-4a36-9d6a-6a4b9cdda3cf,provider_3,10,38.0,84,32
