Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,1,91.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,2,58.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,3,49.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,4,47.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,5,45.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,6,45.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,7,45.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,8,36.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,9,36.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_0,10,36.0,91,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,1,40.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,2,32.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,3,32.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,4,32.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,5,33.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,6,31.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,7,34.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,8,37.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,9,37.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_1,10,36.0,40,31
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,1,84.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,2,51.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,3,49.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,4,41.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,5,39.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,6,42.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,7,43.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,8,49.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,9,47.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_2,10,46.0,84,35
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,1,94.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,2,57.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,3,42.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,4,43.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,5,49.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,6,44.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,7,71.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,8,56.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,9,40.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_3,10,36.0,94,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,1,96.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,2,61.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,3,51.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,4,43.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,5,45.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,6,48.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,7,66.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,8,51.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,9,41.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_4,10,43.0,96,29
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,1,96.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,2,71.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,3,56.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,4,53.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,5,55.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,6,50.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,7,69.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,8,46.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,9,68.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_5,10,61.0,96,39
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,1,92.0,92,27
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,2,59.0,92,27
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,3,86.0,92,27
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,4,60.0,92,27
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,5,40.0,92,27
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,6,39.0,92,27
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,7,39.0,92,27
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,8,42.0,92,27
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,9,42.0,92,27
f85c7821-604b-4ec7-bc23-18f4ebca6402,provider_6,10,43.0,92,27
