Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,1,97.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,2,59.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,3,88.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,4,69.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,5,54.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,6,49.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,7,50.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,8,53.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,9,46.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_0,10,58.0,97,36
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,1,40.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,2,39.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,3,39.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,4,38.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,5,39.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,6,37.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,7,38.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,8,39.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,9,38.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_1,10,39.0,40,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,1,86.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,2,60.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,3,50.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,4,43.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,5,43.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,6,79.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,7,55.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,8,43.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,9,43.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_2,10,39.0,86,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,1,85.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,2,69.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,3,51.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,4,47.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,5,40.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,6,43.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,7,59.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,8,48.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,9,47.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_3,10,43.0,85,30
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,1,88.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,2,61.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,3,51.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,4,51.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,5,63.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,6,51.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,7,52.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,8,53.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,9,51.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_4,10,49.0,88,39
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,1,97.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,2,62.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,3,52.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,4,48.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,5,77.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,6,46.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,7,88.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,8,45.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,9,41.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_5,10,45.0,97,37
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,1,82.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,2,50.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,3,46.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,4,44.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,5,45.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,6,42.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,7,42.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,8,41.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,9,44.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_6,10,41.0,82,32
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_7,1,89.0,89,21
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_7,2,56.0,89,21
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_7,3,46.0,89,21
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_7,4,37.0,89,21
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_7,5,38.0,89,21
fa1caf61-357c-4fac-9cca-c93698bdc6a1,provider_7,6,37.0,89,21
