Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,1,80.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,2,67.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,3,54.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,4,45.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,5,47.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,6,45.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,7,46.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,8,45.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,9,44.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_0,10,44.0,80,37
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,1,40.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,2,33.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,3,38.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,4,31.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,5,31.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,6,31.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,7,31.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,8,31.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,9,32.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_1,10,31.0,40,31
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,1,95.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,2,61.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,3,51.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,4,41.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,5,42.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,6,71.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,7,41.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,8,70.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,9,55.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_2,10,44.0,95,25
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,1,89.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,2,57.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,3,47.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,4,71.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,5,80.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,6,48.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,7,51.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,8,48.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,9,42.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_3,10,47.0,89,34
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_4,1,92.0,92,27
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_4,2,59.0,92,27
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_4,3,48.0,92,27
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_4,4,40.0,92,27
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_4,5,43.0,92,27
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_4,6,48.0,92,27
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_4,7,36.0,92,27
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_4,8,49.0,92,27
fa3da7ce-ad38-4206-bcd7-c4e99a159043,provider_4,9,45.0,92,27
