Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,1,83.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,2,49.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,3,42.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,4,43.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,5,38.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,6,36.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,7,36.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,8,36.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,9,33.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_0,10,31.0,83,22
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,1,40.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,2,35.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,3,26.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,4,25.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,5,24.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,6,24.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,7,23.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,8,23.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,9,23.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_1,10,22.0,40,21
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,1,93.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,2,65.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,3,55.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,4,53.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,5,83.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,6,64.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,7,72.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,8,52.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,9,46.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_2,10,51.0,93,37
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,1,97.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,2,59.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,3,54.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,4,45.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,5,89.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,6,54.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,7,59.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,8,53.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,9,47.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_3,10,45.0,97,33
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,1,90.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,2,54.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,3,49.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,4,51.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,5,49.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,6,47.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,7,54.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,8,44.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,9,47.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_4,10,43.0,90,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,1,97.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,2,79.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,3,64.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,4,49.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,5,51.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,6,52.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,7,50.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,8,60.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,9,43.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_5,10,73.0,97,38
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,1,93.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,2,60.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,3,50.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,4,81.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,5,60.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,6,52.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,7,53.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,8,42.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,9,45.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_6,10,41.0,93,34
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_7,1,95.0,95,26
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_7,2,60.0,95,26
fca2bdaa-02d2-4add-8c81-b7a1474159ff,provider_7,3,50.0,95,26
