Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,1,87.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,2,60.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,3,50.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,4,48.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,5,43.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,6,46.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,7,67.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,8,52.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,9,47.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_0,10,47.0,87,36
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,1,40.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,2,34.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,3,36.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,4,30.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,5,30.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,6,30.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,7,30.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,8,29.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,9,25.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_1,10,29.0,40,25
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,1,85.0,85,26
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,2,55.0,85,26
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,3,47.0,85,26
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,4,43.0,85,26
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,5,41.0,85,26
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,6,41.0,85,26
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,7,44.0,85,26
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,8,40.0,85,26
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,9,37.0,85,26
fe8b7ac7-efe7-44e7-aae9-faa6b4c28aa9,provider_2,10,39.0,85,26
